@relation mushroom_full
@attribute cap-shape {bell,conical,convex,flat,knobbed,sunken}
@attribute cap-surface {fibrous,grooves,scaly,smooth}
@attribute cap-color {brown,buff,cinnamon,gray,green,pink,purple,red,white,yellow}
@attribute bruises {true,false}
@attribute odor {almond,anise,creosote,fishy,foul,musty,none,pungent,spicy}
@attribute gill-attachment {attached,free,descending,free}
@attribute gill-spacing {close,crowded,distant}
@attribute gill-size {broad,narrow}
@attribute gill-color {black,brown,buff,chocolate,gray,green,orange,pink,purple,red,white,yellow}
@attribute stalk-shape {enlarging,tapering}
@attribute stalk-root {bulbous,club,cup,equal,rhizomorphs,rooted}
@attribute stalk-surface-above-ring {fibrous,scaly,silky,smooth}
@attribute stalk-surface-below-ring {fibrous,scaly,silky,smooth}
@attribute stalk-color-above-ring {brown,buff,cinnamon,gray,orange,pink,red,white,yellow}
@attribute stalk-color-below-ring {brown,buff,cinnamon,gray,orange,pink,red,white,yellow}
@attribute veil-type {partial,universal}
@attribute veil-color {brown,orange,white,yellow}
@attribute ring-number {none,one,two}
@attribute ring-type {cobwebby,evanescent,flaring,large,none,pendant,sheathing,zone}
@attribute spore-print-color {black,brown,buff,chocolate,green,orange,purple,white,yellow}
@attribute population {abundant,clustered,numerous,scattered,several,solitary}
@attribute habitat {grasses,leaves,meadows,paths,urban,waste,woods}
@attribute class {edible,poisonous}

@data
conical,grooves,cinnamon,false,anise,attached,distant,broad,red,tapering,bulbous,fibrous,fibrous,gray,gray,partial,orange,two,sheathing,black,clustered,paths,edible
sunken,smooth,pink,true,foul,descending,close,broad,green,enlarging,bulbous,smooth,fibrous,pink,pink,universal,brown,two,zone,black,several,grasses,poisonous
knobbed,grooves,buff,false,none,attached,distant,broad,gray,enlarging,club,fibrous,smooth,orange,white,universal,orange,one,pendant,brown,clustered,waste,poisonous
knobbed,grooves,cinnamon,true,foul,free,crowded,narrow,white,enlarging,rooted,silky,fibrous,gray,brown,universal,yellow,one,evanescent,brown,clustered,urban,poisonous
flat,smooth,cinnamon,false,musty,descending,close,broad,yellow,tapering,rooted,smooth,smooth,pink,gray,partial,yellow,none,cobwebby,chocolate,abundant,leaves,poisonous
flat,smooth,yellow,true,creosote,free,distant,narrow,purple,enlarging,rooted,fibrous,silky,pink,buff,universal,yellow,none,zone,purple,abundant,waste,poisonous
knobbed,fibrous,green,true,foul,free,close,narrow,buff,enlarging,rhizomorphs,silky,smooth,brown,buff,universal,white,none,cobwebby,yellow,clustered,urban,poisonous
bell,grooves,cinnamon,false,anise,free,distant,broad,gray,tapering,club,scaly,silky,red,pink,universal,yellow,none,large,brown,clustered,grasses,edible
knobbed,grooves,brown,true,musty,attached,distant,broad,chocolate,enlarging,bulbous,silky,fibrous,yellow,gray,universal,yellow,none,flaring,black,solitary,urban,poisonous
flat,grooves,buff,false,pungent,attached,distant,narrow,green,tapering,equal,smooth,fibrous,buff,brown,universal,white,none,large,chocolate,clustered,leaves,poisonous
flat,grooves,green,true,spicy,free,close,broad,pink,enlarging,bulbous,fibrous,fibrous,gray,cinnamon,universal,yellow,one,large,white,scattered,grasses,poisonous
flat,scaly,red,true,creosote,descending,crowded,narrow,buff,enlarging,cup,scaly,fibrous,yellow,brown,universal,brown,none,zone,purple,several,woods,poisonous
knobbed,fibrous,cinnamon,true,spicy,attached,distant,broad,white,enlarging,equal,fibrous,scaly,brown,buff,universal,white,one,large,buff,solitary,waste,poisonous
flat,grooves,green,false,musty,free,crowded,broad,black,tapering,rhizomorphs,fibrous,fibrous,yellow,gray,universal,orange,one,evanescent,chocolate,clustered,meadows,poisonous
knobbed,scaly,yellow,false,foul,attached,distant,narrow,white,enlarging,club,silky,fibrous,buff,yellow,partial,white,one,large,buff,solitary,meadows,poisonous
convex,fibrous,buff,false,fishy,free,crowded,broad,black,tapering,club,silky,scaly,white,yellow,universal,brown,none,evanescent,green,solitary,leaves,poisonous
knobbed,grooves,purple,false,spicy,free,close,narrow,green,enlarging,cup,scaly,scaly,buff,pink,universal,orange,none,flaring,black,clustered,paths,poisonous
flat,grooves,green,false,almond,free,distant,broad,orange,enlarging,equal,scaly,scaly,white,pink,universal,orange,none,cobwebby,buff,solitary,leaves,edible
convex,scaly,white,false,none,free,distant,narrow,black,enlarging,cup,scaly,silky,brown,buff,universal,white,two,pendant,orange,scattered,urban,edible
knobbed,grooves,green,false,spicy,attached,distant,narrow,black,enlarging,cup,smooth,fibrous,pink,pink,partial,white,two,none,brown,solitary,paths,poisonous
knobbed,grooves,gray,false,musty,free,distant,narrow,white,enlarging,rhizomorphs,silky,smooth,yellow,brown,universal,white,none,sheathing,purple,several,urban,poisonous
flat,grooves,white,false,musty,free,distant,broad,white,enlarging,cup,silky,fibrous,gray,orange,partial,orange,none,cobwebby,white,abundant,leaves,poisonous
flat,grooves,purple,false,pungent,free,crowded,broad,buff,enlarging,bulbous,smooth,scaly,cinnamon,yellow,universal,brown,two,large,brown,abundant,paths,poisonous
flat,smooth,white,false,creosote,free,close,narrow,pink,tapering,club,silky,smooth,gray,orange,universal,brown,two,none,white,clustered,meadows,poisonous
conical,grooves,gray,true,musty,free,distant,broad,yellow,enlarging,bulbous,smooth,smooth,pink,yellow,universal,yellow,none,large,orange,scattered,paths,poisonous
bell,scaly,green,false,almond,free,crowded,broad,pink,enlarging,cup,smooth,smooth,brown,red,universal,yellow,two,flaring,purple,scattered,leaves,edible
knobbed,fibrous,buff,false,spicy,free,close,narrow,buff,enlarging,cup,smooth,silky,gray,white,universal,white,one,none,black,scattered,meadows,poisonous
sunken,fibrous,pink,true,anise,free,distant,broad,white,enlarging,bulbous,scaly,scaly,brown,cinnamon,partial,orange,one,evanescent,white,several,leaves,edible
conical,fibrous,cinnamon,false,pungent,descending,close,broad,gray,tapering,equal,scaly,fibrous,gray,buff,universal,brown,two,cobwebby,green,numerous,urban,poisonous
knobbed,scaly,brown,true,none,free,crowded,broad,orange,tapering,rooted,smooth,scaly,red,cinnamon,universal,yellow,one,sheathing,orange,solitary,urban,edible
bell,scaly,red,true,foul,free,crowded,narrow,green,enlarging,equal,silky,scaly,white,gray,universal,white,one,none,orange,several,waste,poisonous
knobbed,grooves,buff,true,foul,free,distant,narrow,pink,enlarging,rooted,smooth,smooth,white,brown,partial,white,none,sheathing,yellow,solitary,leaves,poisonous
